Event ID,Event Type,Name,Date,Time,VIP Price,Gold Price,Silver Price,Bronze Price,General Admission Price,Venue Name,Pct Seats Unavailable,Venue Type,Capacity,Cost,VIP Pct,Gold Pct,Silver Pct,Bronze Pct,General Admission Pct,Reserved Extra Pct,Fireworks Planned,Fireworks Cost
1,Sport,UTEP Football 1,9/4/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,17400
2,Sport,UTEP Football 2,9/11/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,17400
3,Sport,UTEP Football 3,9/18/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
4,Sport,UTEP Football 4,9/25/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,17400
5,Sport,UTEP Football 5,10/2/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,17400
6,Sport,UTEP Football 6,10/9/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
7,Sport,UTEP Football 7,10/16/23,7:05 PM,31.50,27.00,22.50,19.50,15.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
8,Sport,UTEP Football 8,10/23/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,18560
9,Sport,UTEP Football 9,10/30/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,No,
10,Sport,UTEP Football 10,11/6/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,18560
11,Sport,UTEP Football 11,11/13/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,18560
12,Sport,UTEP Football 12,11/20/23,7:05 PM,33.60,28.80,24.00,20.80,16.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,18560
13,Sport,UTEP Football 13,11/27/23,7:05 PM,37.80,32.40,27.00,23.40,18.00,Sun Bowl Stadium,0,Stadium,58000,681500,5,10,15,20,45,5,Yes,20880
14,Sport,UTEP Basketball 1,11/20/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
15,Sport,UTEP Basketball 2,11/22/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
16,Sport,UTEP Basketball 3,11/27/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
17,Sport,UTEP Basketball 4,11/29/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
18,Sport,UTEP Basketball 5,12/4/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
19,Sport,UTEP Basketball 6,12/6/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
20,Sport,UTEP Basketball 7,12/11/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
21,Sport,UTEP Basketball 8,12/13/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
22,Sport,UTEP Basketball 9,12/18/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
23,Sport,UTEP Basketball 10,12/20/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
24,Sport,UTEP Basketball 11,12/25/23,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
25,Sport,UTEP Basketball 12,12/27/23,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
26,Sport,UTEP Basketball 13,1/1/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
27,Sport,UTEP Basketball 14,1/3/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
28,Sport,UTEP Basketball 15,1/8/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
29,Sport,UTEP Basketball 16,1/10/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
30,Sport,UTEP Basketball 17,1/15/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
31,Sport,UTEP Basketball 18,1/17/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
32,Sport,UTEP Basketball 19,1/22/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
33,Sport,UTEP Basketball 20,1/24/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
34,Sport,UTEP Basketball 21,1/29/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
35,Sport,UTEP Basketball 22,1/31/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
36,Sport,UTEP Basketball 23,2/5/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
37,Sport,UTEP Basketball 24,2/7/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
38,Sport,UTEP Basketball 25,2/12/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
39,Sport,UTEP Basketball 26,2/14/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
40,Sport,UTEP Basketball 27,2/19/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
41,Sport,UTEP Basketball 28,2/21/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
42,Sport,UTEP Basketball 29,2/26/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
43,Sport,UTEP Basketball 30,2/28/24,7:15 PM,35.70,30.60,25.50,22.10,17.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
44,Sport,UTEP Basketball 31,3/4/24,6:30 PM,31.50,27.00,22.50,19.50,15.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
45,Concert,UTEP Wind Symphony 1,2/3/24,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
46,Concert,UTEP Wind Symphony 2,12/11/23,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
47,Concert,UTEP Wind Symphony 3,9/23/23,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
48,Concert,UTEP Wind Symphony 4,1/11/24,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
49,Concert,UTEP Wind Symphony 5,10/9/23,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
50,Concert,UTEP Wind Symphony 6,9/26/23,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
51,Concert,UTEP Wind Symphony 7,4/20/24,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
52,Concert,UTEP Wind Symphony 8,11/5/23,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
53,Concert,UTEP Wind Symphony 9,2/8/24,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
54,Concert,UTEP Wind Symphony 10,3/23/24,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
55,Concert,UTEP Wind Symphony 11,12/15/23,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
56,Concert,UTEP Wind Symphony 12,3/8/24,6:00 PM,40.63,26.88,23.75,15.63,6.25,Magoffin Auditorium,0,Auditorium,1152,13536,5,10,15,20,45,5,,
57,Concert,Taylor Swift Live,12/25/23,8:00 PM,6036.81,3993.58,3529.21,2321.85,928.74,Sun Bowl Stadium,4,Stadium,64000,752000,5,10,15,20,45,5,Yes,1188788
58,Concert,Drake Live,3/31/24,8:30 PM,6023.49,3984.77,3521.42,2316.73,926.69,Don Haskins Center,8,Arena,14000,164500,5,10,15,20,45,5,,
59,Concert,Bad Bunny Live,4/9/24,8:00 PM,5972.53,3951.06,3491.63,2297.13,918.85,Don Haskins Center,8,Arena,14000,164500,5,10,15,20,45,5,,
60,Concert,Karol G Live,11/19/23,8:00 PM,5734.04,3793.29,3352.21,2205.40,882.16,Sun Bowl Stadium,4,Stadium,64000,752000,5,10,15,20,45,5,No,
61,Concert,RBD Live,3/30/24,7:15 PM,6153.49,4070.77,3597.42,2366.73,946.69,Don Haskins Center,8,Arena,14000,164500,5,10,15,20,45,5,,
62,Concert,Olivia Rodrigo Live,12/31/23,8:00 PM,5577.20,3689.53,3260.51,2145.08,858.03,Don Haskins Center,8,Arena,14000,164500,5,10,15,20,45,5,,
63,Concert,Shakira Live,3/21/24,8:00 PM,6401.27,4234.68,3742.28,2462.03,984.81,Sun Bowl Stadium,4,Stadium,64000,752000,5,10,15,20,45,5,No,
64,Concert,Justin Timberlake Live,5/19/24,8:00 PM,5712.01,3778.71,3339.33,2196.93,878.77,Sun Bowl Stadium,4,Stadium,64000,752000,5,10,15,20,45,5,Yes,1124826
65,Festival,Coachella 1,1/10/24,9:00 AM,3250.00,2150.00,1900.00,1250.00,500.00,San Jacinto Plaza,0,Open Air,15000,176250,5,10,15,20,45,5,No,
66,Festival,Coachella 2,10/13/23,9:00 AM,3250.00,2150.00,1900.00,1250.00,500.00,San Jacinto Plaza,0,Open Air,15000,176250,5,10,15,20,45,5,No,
67,Festival,ACL,11/12/23,9:00 AM,325.00,215.00,190.00,125.00,50.00,San Jacinto Plaza,0,Open Air,15000,176250,5,10,15,20,45,5,No,
68,Festival,Minerpalooza,2/24/24,6:00 PM,0.00,0.00,0.00,0.00,0.00,Centenial Plaza,0,Open Air,5000,58750,5,10,15,20,45,5,Yes,0
68,Festival,UTEP Commencement 1,3/4/24,9:00 AM,0.00,0.00,0.00,0.00,0.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
69,Festival,UTEP Commencement 2,3/22/24,2:00 PM,0.00,0.00,0.00,0.00,0.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
70,Festival,UTEP Commencement 3,2/22/24,7:00 PM,0.00,0.00,0.00,0.00,0.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,
71,Festival,UTEP Commencement 3,3/12/24,2:00 PM,0.00,0.00,0.00,0.00,0.00,Don Haskins Center,0,Arena,12800,150400,5,10,15,20,45,5,,